Gene_ID,Cancer_Type,Gene_Mutation_Count,Gene_Severe_Mutation_Count,Gene_Individuals_with_Mutations_Count,Gene_Individuals_with_Severe_Mutations_Count,Total_Individuals,Total_Mutations,Total_Severe_Mutations,Gene_Individuals_with_Mutations_Prop,Gene_Individuals_with_Severe_Mutations_Prop
RYR3,Lung_Adenocarcinoma,169,16,122,15,508,195863,20684,0.24015748031496062,0.02952755905511811
KIAA1109,Lung_Adenocarcinoma,72,11,62,11,508,195863,20684,0.1220472440944882,0.021653543307086614
DST,Lung_Adenocarcinoma,156,16,104,14,508,195863,20684,0.2047244094488189,0.027559055118110236
ZNF208,Lung_Adenocarcinoma,70,10,57,9,508,195863,20684,0.11220472440944881,0.017716535433070866
SVEP1,Lung_Adenocarcinoma,67,7,59,7,508,195863,20684,0.11614173228346457,0.013779527559055118
PRUNE2,Lung_Adenocarcinoma,97,4,78,4,508,195863,20684,0.15354330708661418,0.007874015748031496
NF1,Lung_Adenocarcinoma,75,36,66,32,508,195863,20684,0.12992125984251968,0.06299212598425197
MYT1L,Lung_Adenocarcinoma,66,5,56,5,508,195863,20684,0.11023622047244094,0.00984251968503937
ADAMTS20,Lung_Adenocarcinoma,80,11,66,11,508,195863,20684,0.12992125984251968,0.021653543307086614
ATRNL1,Lung_Adenocarcinoma,65,9,57,8,508,195863,20684,0.11220472440944881,0.015748031496062992
PLEC,Lung_Adenocarcinoma,67,4,63,4,508,195863,20684,0.12401574803149606,0.007874015748031496
CNTNAP2,Lung_Adenocarcinoma,99,13,77,12,508,195863,20684,0.1515748031496063,0.023622047244094488
NTRK3,Lung_Adenocarcinoma,66,2,55,2,508,195863,20684,0.10826771653543307,0.003937007874015748
DNAH3,Lung_Adenocarcinoma,77,3,64,3,508,195863,20684,0.12598425196850394,0.005905511811023622
PXDNL,Lung_Adenocarcinoma,109,10,90,10,508,195863,20684,0.17716535433070865,0.01968503937007874
BAI3,Lung_Adenocarcinoma,85,8,75,8,508,195863,20684,0.14763779527559054,0.015748031496062992
SYNE1,Lung_Adenocarcinoma,121,17,90,15,508,195863,20684,0.17716535433070865,0.02952755905511811
HYDIN,Lung_Adenocarcinoma,89,12,70,12,508,195863,20684,0.13779527559055119,0.023622047244094488
PRDM9,Lung_Adenocarcinoma,114,15,97,14,508,195863,20684,0.19094488188976377,0.027559055118110236
ABCB5,Lung_Adenocarcinoma,72,7,59,7,508,195863,20684,0.11614173228346457,0.013779527559055118
