Gene_ID,Cancer_Type,Gene_Mutation_Count,Gene_Severe_Mutation_Count,Gene_Individuals_with_Mutations_Count,Gene_Individuals_with_Severe_Mutations_Count
CALCR,Skin_Cutaneous_Melanoma,60,5,44,5
ATP10B,Skin_Cutaneous_Melanoma,72,1,54,1
GABRE,Skin_Cutaneous_Melanoma,60,3,51,3
CYP4Z1,Skin_Cutaneous_Melanoma,61,3,54,3
SPTB,Skin_Cutaneous_Melanoma,146,11,91,10
SLC5A7,Skin_Cutaneous_Melanoma,65,2,51,2
SEZ6L,Skin_Cutaneous_Melanoma,129,9,84,9
COL1A1,Skin_Cutaneous_Melanoma,80,4,61,3
PTPRF,Skin_Cutaneous_Melanoma,73,5,52,5
PCDHB12,Skin_Cutaneous_Melanoma,71,1,57,1
OR51S1,Skin_Cutaneous_Melanoma,68,3,55,3
SPTA1,Skin_Cutaneous_Melanoma,256,20,145,19
TMEM132B,Skin_Cutaneous_Melanoma,163,5,103,5
LIPI,Skin_Cutaneous_Melanoma,55,3,50,3
PREX2,Skin_Cutaneous_Melanoma,200,13,112,12
SPAG17,Skin_Cutaneous_Melanoma,130,8,91,8
GRIN3A,Skin_Cutaneous_Melanoma,107,12,76,11
ANPEP,Skin_Cutaneous_Melanoma,56,3,46,3
PRLR,Skin_Cutaneous_Melanoma,86,4,65,4
PKD1L1,Skin_Cutaneous_Melanoma,137,4,89,4
SDK2,Skin_Cutaneous_Melanoma,97,2,72,2
DSCAM,Skin_Cutaneous_Melanoma,345,15,182,12
COL3A1,Skin_Cutaneous_Melanoma,158,14,98,14
ROR2,Skin_Cutaneous_Melanoma,67,1,47,1
NLRP3,Skin_Cutaneous_Melanoma,130,12,93,12
MOV10L1,Skin_Cutaneous_Melanoma,68,4,50,4
RGPD4,Skin_Cutaneous_Melanoma,154,13,111,12
IL36B,Skin_Cutaneous_Melanoma,56,6,49,6
PSG9,Skin_Cutaneous_Melanoma,83,4,67,4
DGKI,Skin_Cutaneous_Melanoma,74,7,60,7
RAD51AP2,Skin_Cutaneous_Melanoma,59,1,45,1
ADAMTS19,Skin_Cutaneous_Melanoma,87,7,62,7
C3,Skin_Cutaneous_Melanoma,121,11,70,10
NLRC3,Skin_Cutaneous_Melanoma,47,1,44,1
FLT3,Skin_Cutaneous_Melanoma,62,6,52,6
SPTBN5,Skin_Cutaneous_Melanoma,57,7,48,7
CEACAM5,Skin_Cutaneous_Melanoma,53,3,47,3
SIGLEC10,Skin_Cutaneous_Melanoma,63,5,53,5
LAMA3,Skin_Cutaneous_Melanoma,147,9,88,8
USH2A,Skin_Cutaneous_Melanoma,302,18,158,17
BRAF,Skin_Cutaneous_Melanoma,253,3,231,3
ITGA7,Skin_Cutaneous_Melanoma,58,4,46,4
LGSN,Skin_Cutaneous_Melanoma,66,2,54,2
NAV3,Skin_Cutaneous_Melanoma,82,5,60,5
KCNB2,Skin_Cutaneous_Melanoma,200,11,124,11
EPPK1,Skin_Cutaneous_Melanoma,168,4,107,4
ANKRD20A8P,Skin_Cutaneous_Melanoma,51,5,45,5
NLRP1,Skin_Cutaneous_Melanoma,90,8,74,8
EPHB2,Skin_Cutaneous_Melanoma,88,5,65,4
NPHS1,Skin_Cutaneous_Melanoma,78,4,59,4
PCSK1,Skin_Cutaneous_Melanoma,72,7,53,7
GIMAP6,Skin_Cutaneous_Melanoma,83,5,65,5
PAPPA2,Skin_Cutaneous_Melanoma,300,22,154,20
CHD5,Skin_Cutaneous_Melanoma,104,7,68,6
SLC34A2,Skin_Cutaneous_Melanoma,56,3,47,3
NRK,Skin_Cutaneous_Melanoma,88,10,74,10
ABCC3,Skin_Cutaneous_Melanoma,92,7,68,6
KCND2,Skin_Cutaneous_Melanoma,91,5,67,5
SCNN1G,Skin_Cutaneous_Melanoma,63,4,51,4
CASS4,Skin_Cutaneous_Melanoma,60,0,49,0
CSMD2,Skin_Cutaneous_Melanoma,410,26,187,22
FPR1,Skin_Cutaneous_Melanoma,60,4,46,4
GPR50,Skin_Cutaneous_Melanoma,47,1,44,1
OR4C15,Skin_Cutaneous_Melanoma,72,2,55,2
FAM47B,Skin_Cutaneous_Melanoma,66,1,53,1
SH3RF2,Skin_Cutaneous_Melanoma,101,4,72,4
SLCO1A2,Skin_Cutaneous_Melanoma,64,1,50,1
SLC38A4,Skin_Cutaneous_Melanoma,71,3,60,3
CDH17,Skin_Cutaneous_Melanoma,59,3,50,3
RIMS1,Skin_Cutaneous_Melanoma,90,3,63,3
SELE,Skin_Cutaneous_Melanoma,75,5,52,4
DUOX2,Skin_Cutaneous_Melanoma,92,7,75,7
MYOM2,Skin_Cutaneous_Melanoma,100,6,70,6
UGT2B10,Skin_Cutaneous_Melanoma,66,8,52,7
STAB2,Skin_Cutaneous_Melanoma,182,15,119,15
CATSPERD,Skin_Cutaneous_Melanoma,59,2,47,2
EPHA3,Skin_Cutaneous_Melanoma,85,5,66,5
JAKMIP2,Skin_Cutaneous_Melanoma,75,5,58,4
VCAN,Skin_Cutaneous_Melanoma,119,5,74,5
TRPC6,Skin_Cutaneous_Melanoma,68,6,56,6
ZNF804B,Skin_Cutaneous_Melanoma,69,1,49,1
PSG8,Skin_Cutaneous_Melanoma,73,5,58,5
LY75,Skin_Cutaneous_Melanoma,66,9,50,7
ADD2,Skin_Cutaneous_Melanoma,86,3,61,3
OR5D13,Skin_Cutaneous_Melanoma,55,3,48,3
SCN5A,Skin_Cutaneous_Melanoma,240,15,131,14
XIRP1,Skin_Cutaneous_Melanoma,111,3,82,3
