Gene_ID,Cancer_Type,Gene_Mutation_Count,Gene_Severe_Mutation_Count,Gene_Individuals_with_Mutations_Count,Gene_Individuals_with_Severe_Mutations_Count
GK,Uterine_Corpus_Endometrial_Carcinoma,95,8,50,8
PEAK1,Uterine_Corpus_Endometrial_Carcinoma,77,16,45,15
WWC3,Uterine_Corpus_Endometrial_Carcinoma,107,9,63,9
G3BP1,Uterine_Corpus_Endometrial_Carcinoma,63,3,47,3
GTF3C1,Uterine_Corpus_Endometrial_Carcinoma,128,14,64,14
ZIC4,Uterine_Corpus_Endometrial_Carcinoma,88,3,51,3
XDH,Uterine_Corpus_Endometrial_Carcinoma,96,10,48,9
RNF213,Uterine_Corpus_Endometrial_Carcinoma,257,14,88,11
UNC5D,Uterine_Corpus_Endometrial_Carcinoma,122,8,61,8
KIAA2022,Uterine_Corpus_Endometrial_Carcinoma,245,7,88,7
KIAA1551,Uterine_Corpus_Endometrial_Carcinoma,89,7,49,7
MIA3,Uterine_Corpus_Endometrial_Carcinoma,108,13,51,12
GCN1L1,Uterine_Corpus_Endometrial_Carcinoma,111,5,54,5
F8,Uterine_Corpus_Endometrial_Carcinoma,217,24,80,21
SMPD4,Uterine_Corpus_Endometrial_Carcinoma,75,2,44,2
KLHL4,Uterine_Corpus_Endometrial_Carcinoma,99,9,48,7
SNX18,Uterine_Corpus_Endometrial_Carcinoma,61,5,44,5
PCDHB7,Uterine_Corpus_Endometrial_Carcinoma,149,2,61,2
E2F7,Uterine_Corpus_Endometrial_Carcinoma,74,4,47,4
MYPN,Uterine_Corpus_Endometrial_Carcinoma,106,10,56,10
CNTNAP3,Uterine_Corpus_Endometrial_Carcinoma,100,12,51,10
ZFP64,Uterine_Corpus_Endometrial_Carcinoma,68,1,46,1
DIDO1,Uterine_Corpus_Endometrial_Carcinoma,156,14,71,12
PARD3B,Uterine_Corpus_Endometrial_Carcinoma,73,18,48,17
DLGAP1,Uterine_Corpus_Endometrial_Carcinoma,65,6,45,6
RGS12,Uterine_Corpus_Endometrial_Carcinoma,82,9,50,9
CAPRIN2,Uterine_Corpus_Endometrial_Carcinoma,85,6,50,6
C5,Uterine_Corpus_Endometrial_Carcinoma,89,10,46,10
ESRP1,Uterine_Corpus_Endometrial_Carcinoma,82,39,60,33
DRC11,Uterine_Corpus_Endometrial_Carcinoma,76,11,47,11
ABHD13,Uterine_Corpus_Endometrial_Carcinoma,107,3,52,3
LAMB2,Uterine_Corpus_Endometrial_Carcinoma,71,8,48,8
LHX9,Uterine_Corpus_Endometrial_Carcinoma,61,2,46,2
NEGR1,Uterine_Corpus_Endometrial_Carcinoma,88,4,49,4
LRRC16A,Uterine_Corpus_Endometrial_Carcinoma,86,12,46,12
ATP10B,Uterine_Corpus_Endometrial_Carcinoma,98,13,55,13
