Site,Winter_Longitude,Winter_Latitude,Stopover_Longitude,Stopover_Latitude,Iberian_Longitude,Iberian_Latitude,Westmost_Longitude,Westmost_Latitude
Spain,-13.29374971,13.21926304,NA,NA,-3.52338579434439,38.41190949674,-16.0551754399301,25.4143376468035
Spain,-14.77540863,13.64013362,NA,NA,-6.29541253379586,38.9903721587324,-16.7290428974749,19.0196729647402
Dartmoor,-10.97996035,8.667609124,NA,NA,-8.40142477801667,38.9472656094659,-15.5784504004352,35.3219175990906
Dartmoor,-8.602874462,14.75982103,-7.54601817899217,22.4502230448063,-6.90775790461603,37.500769109812,-15.1029728052326,21.8201414300385
Dartmoor,-13.03625883,9.520968221,-7.76500539203343,40.282238592491,-8.20765071407574,42.3559961123204,-16.0079852341945,33.987896780069
Dartmoor,-10.61027527,7.752926298,-7.46161229463531,33.3442372068364,-8.4118682178092,40.5519706291756,-16.6930725200429,23.2126078610549
Dartmoor,-10.6732849,8.133863401,NA,NA,-8.4140174962552,40.2765214422958,-15.7733269922083,27.3590299412811
Dartmoor,-8.863264467,8.548031344,-9.98887151060585,23.9434114834113,-4.59439379880677,41.5556007618359,-13.0162185121952,30.8017406438812
Dartmoor,-10.99458041,11.49465864,NA,NA,-8.51126843422806,41.2140127727634,-16.2426911939808,28.1679458830976
Dartmoor,-9.770850206,6.197175592,NA,NA,-7.28006665253658,41.8701505219229,-16.7303084062677,28.6929585118839
Dartmoor,-7.994689659,5.638283733,-5.3089774447618,39.4082325813249,-9.22115716726495,43.2038099089498,-16.9027466941671,34.7492252156556
Dartmoor,-9.044955223,7.693814721,-6.45851309883191,34.5276209394679,-7.70389572316279,41.8187087883128,-17.085951540821,29.1313216811976
Dartmoor,-10.57051903,8.343574562,-5.4435573029538,41.8450710160363,-8.40169979476414,40.954457926026,-15.9562248842411,25.5069775883423
Dartmoor,-10.09036683,13.46387125,-2.48815244560558,33.8670433217545,-7.31327503449746,33.4984331622798,-15.9364266654862,24.2179709457726
Dartmoor,-10.69627153,6.625222479,-6.01112977450074,39.9659195801897,-9.02188248571385,43.16186263522,-16.089252925826,35.3964931182011
Dartmoor,-10.88227193,6.492101191,-8.745070658754,28.872523342922,-7.63826816734819,41.2037628733924,-13.7267782809373,30.8757588962801
Dartmoor,-10.99171414,20.48544153,-5.28060095238125,25.8057516101124,-5.3254653533718,40.382581359232,-17.0803133794927,3.54403660206994
Dartmoor,-11.42097295,10.09847991,-7.83763428904929,32.9514903273421,-7.60416385623127,41.1374519648044,-14.5529420175251,23.2644260540561
Dartmoor,-9.0084559380000009,5.524048161,-5.18158041747123,41.1868978850386,-8.7418182665978,42.5765898310217,-16.5449947035418,29.4801052287967
Dartmoor,-10.87956779,8.344625989,-8.39880900140657,32.2278489775165,-8.68703689115392,39.0889193058849,-15.787551880687,24.8428378488789
Dartmoor,-8.61520571,10.47909111,NA,NA,-8.19800788424699,29.8248352500437,-17.2414954449056,23.1475295992552
Dartmoor,-10.61085043,10.07553767,-0.500245287478441,41.849667162318,-8.46425279524147,40.1493325142268,-15.5889916212179,26.5569121535263
Dartmoor,-10.58016263,10.39536165,-2.47267391177687,41.2522015196619,-8.24002765210895,42.6744723482965,-15.5799392866858,30.4091429134663
Dartmoor,-7.719070183,4.522977196,1.23399239830512,46.9307111516747,-7.79373074935319,43.3836193338977,-15.1799167893934,35.4228234628245
Dartmoor,-11.27388017,9.124944529,NA,NA,-8.52268726987017,42.2618201424368,-15.0060856853717,35.6864423369159
Dartmoor,-7.596565016,4.524341468,NA,NA,NA,NA,NA,NA
Dartmoor,-10.13829059,7.739915191,NA,NA,-8.72368872304842,40.9991570563002,-17.2241388375194,24.9837019080447
Dartmoor,-10.96120786,6.39465809,-8.68149855953734,29.1709135607976,-8.6249622208499,32.7792380757656,-17.6024753611974,20.7338648671893
Dartmoor,-9.054686056,9.409902885,-9.008435770034,30.9693053728704,-7.21038316577647,41.0815794440841,-15.9617985222716,25.4410678457586
Dartmoor,-10.45599374,6.202209436,-8.92489047760828,32.047847229732,-9.74705592404426,27.8599253104618,-16.2550337603483,20.1340846690996
Dartmoor,-11.15824443,8.559578948,-10.7812156931203,28.9008272565793,-8.14072448205193,40.6470026899409,-16.2529014596079,29.086567195091
Dartmoor,-10.39369117,9.392219945,-9.10375885991615,29.6574580375754,-8.42926827080489,42.1258073271664,-15.9237333397983,24.0175378652347
Dartmoor,-9.465428308,8.912838929,-1.84951124719664,43.2603616935786,-7.16266886721902,42.9749350519006,-15.9862900601372,29.1197873063894
